,0,1,2,3,4,5,6,7,8
0,0.02852585133674631,0.19057453254273005,0.0,0.0,0.0,0.5501318649999865,0.9051961408516197,0.9553899529984088,0.9454601801285798
1,0.1726453087018873,0.1518728650559162,0.04730589561385719,0.0,0.0,0.0,0.9553899529984088,0.9465183015470677,
2,,0.0,0.6151847579631472,0.0,0.10759376350557304,0.0,0.8729636656493432,0.9051961408516197,0.0
3,0.19003710389580278,0.0,0.8225462996311647,0.030794513492420683,0.008691225235968368,0.0,0.9538301266904096,0.9428163198469912,0.0
4,0.06678448071336807,0.0,0.5357536249556033,0.0,0.0,0.3766293269132045,0.9405941680468513,0.9411773042006141,
5,0.8722850480944976,0.20383671783121526,,0.0,0.06470778252669018,0.0,0.9465183015470677,0.9383541761876687,
6,0.867127276286779,0.0,0.0,0.0,,0.029351999447551784,0.9272963972733784,0.9538301266904096,
7,0.8941691975197268,,0.19613148048019283,0.0,0.21152063493765805,0.0,0.7606287584948138,0.9272963972733784,0.9574756932794009
8,0.7913008067148489,0.0,0.15513762624791108,,0.0,,0.9406118226311315,0.9509486639429944,0.8709680503584415
9,0.8641196351098996,,0.3734207754351046,0.009984013974698313,0.0,0.16122573757884068,0.19309898537925138,0.9062502212520986,
10,0.874637120732511,0.0,0.0,0.0,0.0,0.0,0.9411773042006141,,0.7590352405854589
11,0.5014615200824599,0.0,0.13488733644473316,0.007491954084481738,0.008001090723409203,0.0,0.9428163198469912,0.9405941680468513,0.9378578178479704
12,0.7993549118033609,0.02160096442555097,0.17145359327889031,0.2704791102320584,,0.0,,0.7462034011913737,0.9659358738833921
13,0.2886527512337112,0.0,0.0,,0.0,,,0.6508128606592213,0.911653845792195
14,0.7197437751963238,0.0,0.21415447595197853,0.0,0.0,,0.9383541761876687,0.19309898537925138,0.9443566353855063
15,0.8715541033352011,0.0,0.7202406731706738,0.13086006906884629,0.15051774722654773,0.0,0.9051726583678893,,0.0
16,0.0,0.0,0.12216346279019981,0.0,0.31772147668858164,0.0,0.9094381221917625,0.9381728527949449,
17,0.8522312320999875,,0.0,,0.5065443867782865,0.0,0.9428341215286666,,0.8792555003400814
18,0.09278121202827569,0.0,0.6345308081980864,0.06618508513636882,0.34213191504971663,0.0665056774397237,0.9406015725978619,0.9561455210575944,0.9521692119783219
19,0.8387885325824966,,0.0,0.0,0.0,0.33333694235675126,0.9561455210575944,0.9602330030234792,0.9061209382513742
20,0.7515278226034577,,,,0.24171369401689283,0.0,0.07010797230349416,0.9260393410433496,0.8293876492258165
21,0.8204433503740125,0.6270682180256688,0.0,0.0,0.11510837418609016,0.0,0.6508128606592213,0.9032356231499744,0.9633883364234543
22,0.8018444855065467,0.27537073293181913,0.8745242895000421,0.04008098442580065,0.0,0.006089283689195151,0.9509486639429944,0.0,0.6270682180256688
23,0.0,0.04730589561385719,0.5018650418804005,0.2521936183161533,0.0,0.0,0.25724152389817095,0.932438887071217,0.7060878450410313
24,0.6202081418859998,0.7619885427826716,0.0,0.0635981562033405,0.0,0.0,,0.9122163597823859,0.8255082109558811
25,0.7994717473795888,0.21519135199700049,0.6857131288904152,0.0,0.03496815554017416,0.0,0.9122163597823859,0.0,
26,0.0,,0.7771583581084174,0.0,0.0,,0.9381728527949449,0.9545883013732178,
27,0.8427609392637937,,0.5150665186787324,0.0,0.0,0.13327110888265947,0.9545883013732178,0.7606287584948138,0.774095410770527
28,0.896202205844042,,0.5377970666159516,0.3473472207044558,0.2704791102320584,0.07262288184836191,0.9062502212520986,0.9406118226311315,0.0
29,0.030151898499237804,,0.8221626105320988,0.04788701118991096,0.7355328570714618,0.0,,0.8729636656493432,0.7617448155487448
30,0.2727192349283068,,0.4859458583310653,0.0,0.0,,,0.6337623416139899,0.9343951567288555
31,0.8083709889584176,,0.042245855369954,0.0,,0.0,0.695157305581302,0.8292583377434826,0.5051473398484921
32,,,0.7141483647959095,0.0,0.0979051252607521,0.0,0.841813704395042,0.0,0.6836142343285879
33,0.8158095966477951,,0.506727496841109,0.2070089517605469,0.0,0.08576637297202701,0.0,0.9051726583678893,
34,0.6277304133507114,,0.0,,0.0,0.17859184023531047,0.0,0.9208388010553039,
35,,,0.29087798704056234,0.0013564381062201594,,0.0,,0.9488516580986399,
36,,,0.010605420464505794,0.13534424284084834,0.14029417719384832,0.0,0.932438887071217,0.25724152389817095,
37,,,0.4248116466152794,0.3972480589255413,0.3218696066849352,0.0,,0.9004851884613121,
38,,,0.45951133707436786,0.4148729536029626,0.21402248279712657,0.3456883889535931,0.9004851884613121,0.760424934319881,
39,,,0.5065443867782865,0.048438024304372045,0.06230634421958982,0.22028937464462858,,0.8726575365412891,
40,,,0.48995726650624866,0.13165456202082845,0.0,0.0,0.760424934319881,0.0,
41,,,0.1057649181859253,0.09453145741390921,0.3478455012076726,0.0,0.3173068485710048,0.0,
42,,,0.5282793478413073,0.0,0.0,,,0.934379480376785,
43,,,0.5118713157001866,0.340795670479337,,0.16671897107175612,0.0630982116898161,0.9428341215286666,
44,,,0.0,0.0562188795607317,0.33492153480943837,0.18420658341624707,,0.9406015725978619,
45,,,0.007599647748272784,0.27616202996295014,,0.0,0.39618369549213645,0.9338925284710925,
46,,,0.6133050741135624,0.009383885830505213,0.004822558624120948,0.0,0.8763219021982961,,
47,,,0.5639939008398167,0.0,0.36914384214653734,,,0.8368541142871758,
48,,,0.0,0.6843503551898718,0.3375316278633565,0.0,0.6869520008419316,0.0,
49,,,0.2552485762205161,0.12194528497379334,0.7246785604732937,,0.9399324330221859,,
50,,,,0.8225462996311647,0.0,,,0.841813704395042,
51,,,0.0,0.03220432334748298,0.01656670128549044,0.0,,,
52,,,0.0,0.21415447595197853,0.0,,0.9602330030234792,0.0,
53,,,0.0,0.0,,0.03722136781974362,0.9032356231499744,0.8973874812252379,
54,,,0.38268464718394385,0.0,,0.14560382151124163,,,
55,,,0.34213191504971663,0.44314519541268316,,0.0,0.8862544232312701,,
56,,,0.0,0.027156220721240614,,0.34791325110869387,0.8292583377434826,0.9083794874568845,
57,,,0.5232321554217453,0.5280430627551489,,0.0,0.06956550058130952,0.926249821387355,
58,,,0.28756615445241185,0.5776121727402089,,,0.5910090092170829,0.787626227248347,
59,,,0.502819717131814,0.0,,0.0015247332344885593,0.7462034011913737,0.860345549076101,
60,,,0.0,0.0,,0.1318104766440296,0.9260393410433496,,
61,,,,0.17297006368453827,,0.0,0.6693448614302763,0.07010797230349416,
62,,,,0.2710301430545845,,0.0,0.6337623416139899,0.9178352820547366,
63,,,,0.3478455012076726,,0.644366599958635,,0.9521692119783219,
64,,,,0.0,,0.10902102577966827,,0.9140241182313814,
65,,,,0.0,,0.41858324551293585,0.0,0.8763219021982961,
66,,,,0.04238891416813023,,0.020733989182942565,0.934379480376785,,
67,,,,,,0.0,0.6682574760253184,,
68,,,,0.0,,0.0,0.0,0.9094381221917625,
69,,,,,,0.0,0.7800797807353131,0.8492816964535754,
70,,,,0.6151847579631472,,0.0,0.9083794874568845,0.020306454022245762,
71,,,,,,0.0,0.9392433053526098,0.9659358738833921,
72,,,,0.19613148048019283,,0.1394195386008834,0.3828546727727831,0.8355121548142532,
73,,,,0.47291011077439,,0.0,0.05152085794180337,0.0,
74,,,,0.34213191504971663,,,0.926249821387355,0.9454601801285798,
75,,,,0.15513762624791108,,0.0,0.9227923003802676,,
76,,,,0.5232321554217453,,0.5337546763044639,0.258720719017774,0.9392433053526098,
77,,,,0.08436538089564781,,,0.7973635399657829,0.04292971122989225,
78,,,,0.2094340255724873,,,0.3543147987993303,0.0,
79,,,,0.0,,,0.5139323277871882,0.5154773597760783,
80,,,,0.7735580403559635,,,0.42565448409638645,0.8369696644069623,
81,,,,0.16287860155808195,,,0.8879228275690906,0.8879228275690906,
82,,,,0.042245855369954,,,0.7624244575496261,,
83,,,,0.1393143044077297,,,0.9147237965083949,0.3173068485710048,
84,,,,0.3734207754351046,,,0.506317476693157,,
85,,,,,,,0.0,,
86,,,,0.005980847439624915,,,,0.0,
87,,,,0.2537529032069769,,,0.6831024000869715,0.9152818171373863,
88,,,,0.1860137600632927,,,,0.8589724192945022,
89,,,,0.0,,,0.860345549076101,0.5660594822667984,
90,,,,0.3804441946914573,,,0.8467679170299038,0.8290013537164607,
91,,,,0.15524238665117596,,,0.0,0.9048296530878377,
92,,,,0.1302426353955179,,,0.8422324166646329,0.8723843450356951,
93,,,,0.0,,,,0.0,
94,,,,0.0,,,,0.0,
95,,,,0.0,,,0.9208388010553039,0.8862544232312701,
96,,,,0.3232985016738864,,,0.8477263829347604,0.8467679170299038,
97,,,,0.0,,,0.8973874812252379,,
98,,,,,,,,,
99,,,,,,,0.9210630736638845,,
100,,,,,,,0.879563042397936,0.9227923003802676,
101,,,,,,,0.9338925284710925,0.8375049442797584,
102,,,,,,,0.8644589155373986,0.3304055122651192,
103,,,,,,,0.8726575365412891,0.21783660100636912,
104,,,,,,,0.8693366346588353,0.8473901117334534,
105,,,,,,,0.8660996599289837,0.39618369549213645,
106,,,,,,,0.8800536586460548,,
107,,,,,,,0.9176993897763849,,
108,,,,,,,,0.599292362841748,
109,,,,,,,0.7760821707718523,0.9176993897763849,
110,,,,,,,0.800822664398228,0.9399324330221859,
111,,,,,,,,0.8800536586460548,
112,,,,,,,0.7722353696624021,0.8366519970794554,
113,,,,,,,0.3304055122651192,,
114,,,,,,,0.8375049442797584,0.6869520008419316,
115,,,,,,,0.5679399400820946,0.0,
116,,,,,,,0.0,0.408284965850689,
117,,,,,,,0.7093076374168991,0.8889678918806486,
118,,,,,,,0.0,0.3743900684338423,
119,,,,,,,0.05398804041410941,0.0,
120,,,,,,,0.0,0.8716802999290617,
121,,,,,,,,0.9574756932794009,
122,,,,,,,0.7929890398966639,,
123,,,,,,,0.028510914344442168,0.7476186756537353,
124,,,,,,,,0.8742450698745334,
125,,,,,,,0.49008772610128104,0.8792555003400814,
126,,,,,,,,,
127,,,,,,,,0.7712738740306715,
128,,,,,,,,0.782308071868943,
129,,,,,,,,0.506317476693157,
130,,,,,,,,0.014771917070862476,
131,,,,,,,,0.8442809828411344,
132,,,,,,,,0.5953459779307554,
133,,,,,,,,0.8422324166646329,
134,,,,,,,,0.9210630736638845,
135,,,,,,,,0.8255082109558811,
