RPL12,TEX14,NRG3,HPSE2,PRSS33,KRT15,AGBL4,CFAP299,TPPP3
,,,PAM,,CLCA4,SPEF2,TPPP3,
,,,NPAS3,,PIGR,NEK5,MS4A8,
,,,ABCC4,,MALL,TTC21B,FHAD1,
,,,TLE1,,,SNED1,FGF14,
,,,USP28,,,ARHGAP42,MIR100HG,
,,,ACSM3,,,NR4A3,BCAS3,
,,,RPL13A,,,CSRP2,SAXO2,
,,,SLIT2,,,CSPP1,CSPP1,
,,,EPB41L2,,,IQCH,LINC02889,
,,,CDH6,,,KIF6,CHST9,
,,,PKHD1L1,,,SPAG1,FAM183A,
,,,NLGN4X,,,SOD3,DNAI2,
,,,LONRF2,,,LINC02889,C9orf24,
,,,ABCA5,,,CCDC88C,DRC3,
,,,CLIC5,,,USP2-AS1,CDKL1,
,,,CD83,,,CFAP70,IGF1R,
,,,ECE1,,,ARMC2,VWA3B,
,,,ENPP1,,,C5orf49,ESRRG,
,,,COL6A1,,,MOK,ECT2L,
,,,ARG2,,,ENSG00000288957,C6,
,,,ASTN1,,,KIAA0825,SOD3,
,,,FRAS1,,,RFX3,TOGARAM2,
,,,AMPH,,,KATNIP,ARMC2,
,,,ASAP1,,,SYNE1,CFAP95,
,,,,,,MGC4859,LINC02345,
,,,,,,AK9,CFAP276,
,,,,,,PPIL6,NEK5,
,,,,,,DYNC2H1,FBXL13,
,,,,,,CCDC40,PDK4,
,,,,,,SPAG16,PSENEN,
,,,,,,NEK1,CCDC146,
,,,,,,MNS1,CFAP73,
,,,,,,TSGA10,DNAI7,
,,,,,,FANK1,ENSG00000259925,
,,,,,,DNAAF11,EFCAB2,
,,,,,,LRGUK,FANK1,
,,,,,,CCDC138,CFAP61,
,,,,,,CCDC198,TSGA10,
,,,,,,BBOF1,EFCAB6,
,,,,,,PDK4,DNAI3,
,,,,,,FBXL13,ZC3H12B,
,,,,,,CNTRL,FABP6,
,,,,,,MIR100HG,DMD,
,,,,,,DPP6,CFAP52,
,,,,,,RRAD,ANAPC4,
,,,,,,GADD45G,C6orf118,
,,,,,,C3orf52,LDLRAD1,
,,,,,,CASC2,PIFO,
,,,,,,SPATA18,CASC2,
,,,,,,C2CD4B,TRAF3IP1,
,,,,,,ENSG00000285744,ARHGAP18,
,,,,,,ABHD17B,HOATZ,
,,,,,,,LINC00882,
,,,,,,,PLCH1,
,,,,,,,FOXJ1,
,,,,,,,SPAG1,
,,,,,,,PRUNE2,
,,,,,,,MAP3K19,
,,,,,,,MEIS2,
,,,,,,,MOK,
,,,,,,,AK9,
,,,,,,,ZMYND10,
,,,,,,,SPATA18,
,,,,,,,CFAP69,
,,,,,,,CAPSL,
,,,,,,,CLXN,
,,,,,,,BTBD9,
,,,,,,,SDK1,
,,,,,,,KATNIP,
,,,,,,,KLHL32,
,,,,,,,MGC4859,
,,,,,,,DYNLRB2,
,,,,,,,ENSG00000258752,
,,,,,,,DYNC2I1,
,,,,,,,SHANK2,
,,,,,,,TTC21B,
,,,,,,,C5orf49,
,,,,,,,KIF21A,
,,,,,,,CETN2,
,,,,,,,CFAP53,
,,,,,,,PPP1R42,
,,,,,,,CDHR4,
,,,,,,,TMEM59,
,,,,,,,SERPINI2,
