Rpl12,Tex14,Nrg3,Hpse2,Prss33,Krt15,Agbl4,Cfap299,Tppp3
,,,Cftr,,Kynu,Sytl3,C20orf85,
,,,Pam,,Clca4,Spef2,Tppp3,
,,,Npas3,,Pigr,Nek5,Ms4a8,
,,,Abcc4,,Mall,Ttc21b,Fhad1,
,,,Tle1,,,Sned1,Fgf14,
,,,Usp28,,,Arhgap42,Mir100hg,
,,,Acsm3,,,Nr4a3,Bcas3,
,,,Rpl13a,,,Csrp2,Saxo2,
,,,Slit2,,,Cspp1,Cspp1,
,,,Epb41l2,,,Iqch,Linc02889,
,,,Cdh6,,,Kif6,Chst9,
,,,Pkhd1l1,,,Spag1,Fam183a,
,,,Nlgn4x,,,Sod3,Dnai2,
,,,Lonrf2,,,Linc02889,C9orf24,
,,,Abca5,,,Ccdc88c,Drc3,
,,,Clic5,,,Usp2-as1,Cdkl1,
,,,Cd83,,,Cfap70,Igf1r,
,,,Ece1,,,Armc2,Vwa3b,
,,,Enpp1,,,C5orf49,Esrrg,
,,,Col6a1,,,Mok,Ect2l,
,,,Arg2,,,Ensg00000288957,C6,
,,,Astn1,,,Kiaa0825,Sod3,
,,,Fras1,,,Rfx3,Togaram2,
,,,Amph,,,Katnip,Armc2,
,,,Asap1,,,Syne1,Cfap95,
,,,,,,Mgc4859,Linc02345,
,,,,,,Ak9,Cfap276,
,,,,,,Ppil6,Nek5,
,,,,,,Dync2h1,Fbxl13,
,,,,,,Ccdc40,Pdk4,
,,,,,,Spag16,Psenen,
,,,,,,Nek1,Ccdc146,
,,,,,,Mns1,Cfap73,
,,,,,,Tsga10,Dnai7,
,,,,,,Fank1,Ensg00000259925,
,,,,,,Dnaaf11,Efcab2,
,,,,,,Lrguk,Fank1,
,,,,,,Ccdc138,Cfap61,
,,,,,,Ccdc198,Tsga10,
,,,,,,Bbof1,Efcab6,
,,,,,,Pdk4,Dnai3,
,,,,,,Fbxl13,Zc3h12b,
,,,,,,Cntrl,Fabp6,
,,,,,,Mir100hg,Dmd,
,,,,,,Dpp6,Cfap52,
,,,,,,Rrad,Anapc4,
,,,,,,Gadd45g,C6orf118,
,,,,,,C3orf52,Ldlrad1,
,,,,,,Casc2,Pifo,
,,,,,,Spata18,Casc2,
,,,,,,C2cd4b,Traf3ip1,
,,,,,,Ensg00000285744,Arhgap18,
,,,,,,Abhd17b,Hoatz,
,,,,,,,Linc00882,
,,,,,,,Plch1,
,,,,,,,Foxj1,
,,,,,,,Spag1,
,,,,,,,Prune2,
,,,,,,,Map3k19,
,,,,,,,Meis2,
,,,,,,,Mok,
,,,,,,,Ak9,
,,,,,,,Zmynd10,
,,,,,,,Spata18,
,,,,,,,Cfap69,
,,,,,,,Capsl,
,,,,,,,Clxn,
,,,,,,,Btbd9,
,,,,,,,Sdk1,
,,,,,,,Katnip,
,,,,,,,Klhl32,
,,,,,,,Mgc4859,
,,,,,,,Dynlrb2,
,,,,,,,Ensg00000258752,
,,,,,,,Dync2i1,
,,,,,,,Shank2,
,,,,,,,Ttc21b,
,,,,,,,C5orf49,
,,,,,,,Kif21a,
,,,,,,,Cetn2,
,,,,,,,Cfap53,
,,,,,,,Ppp1r42,
,,,,,,,Cdhr4,
,,,,,,,Tmem59,
,,,,,,,Serpini2,
