Upk1a,Gstm2,Aff1,Rhoj,Dpp6,Syne1,Rgs22,Dynlrb2
,,,Esr1,,,,
,,,Prkce,,,,
,,,Bmpr1b,,,,
,,,Sdc4,,,,
,,,Itga6,,,,
,,,Ccnl1,,,,
,,,Tnfrsf12a,,,,
,,,Sbno2,,,,
,,,Rps2,,,,
,,,Nfkbia,,,,
,,,Mctp1,,,,
,,,Lsmem1,,,,
,,,Nav2,,,,
,,,Pde3a,,,,
,,,Ecrg4,,,,
,,,Abi1,,,,
,,,Lcn2,,,,
,,,Eef1b2,,,,
,,,Cxadr,,,,
,,,Rpl37a,,,,
,,,Farp1,,,,
,,,Rpl14,,,,
